name	publisher	title	coverage	subject	placeOfPublication
sn88064630	J.M. Scanland	Natchitoches spectator.	http://dbpedia.org/resource/Natchitoches%2C_Louisiana		Natchitoches, La.
sn84020109	R.W. Furnas	Nebraska advertiser.	http://dbpedia.org/resource/Brownville%2C_Nebraska		Brownville, Nemaha County, N.T. [Neb.]
sn82016413	s.n.]	Evening bulletin.	http://dbpedia.org/resource/Honolulu%2C_Hawaii		Honolulu [Oahu, Hawaii
sn83016810	Northwestern Pub. Co.	The appeal.	http://sws.geonames.org/5037649/	African Americans--Minnesota--Newspapers.	Saint Paul, Minn. ;
sn94056446	Ross & Ray	The Falls City tribune	http://dbpedia.org/resource/Falls_City%2C_Nebraska	Falls City (Neb.)--Newspapers.	Falls City, Neb.
sn2007058207	Union Print. Co.	Ohio valley worker : official paper of the Federated Trades Council of Louisville, Trades and Labor Council of New Albany, Central Labor Union of Jeffersonville.	http://sws.geonames.org/4299276/	Jefferson County (Ky.)--Newspapers.	[Louisville, Ky.]
sn95073194	M.K. Turner & Co.	The Columbus journal.	http://dbpedia.org/resource/Columbus%2C_Nebraska	Columbus (Neb.)--Newspapers.	Columbus, Neb.
sn84025890	Turner & Hamlin	The bee.		African Americans--Washington (D.C.)--Newspapers.	Washington, D.C.
sn92070144	F.G. Havens	Imperial Valley press and the Imperial press.	http://dbpedia.org/resource/El_Centro%2C_California	Imperial Valley (Calif. and Mexico)--Newspapers.	El Centro, Calif.
sn2004060008	R.S. Patterson	Safford rattler.	http://dbpedia.org/resource/Safford%2C_Arizona	Graham County (Ariz.)--Newspapers.	Safford, Ariz.
sn85058273	N.H. Dresser	The Mercur miner.	http://dbpedia.org/resource/Mercur%2C_Utah		Mercur, Utah
sn95047378	Edward Fitzgerald	The gazette-news.		Daytona (Fla.)--Newspapers.	Daytona, Fla.
sn99021999	Edward Rosewater	Omaha daily bee.	http://dbpedia.org/resource/Omaha%2C_Nebraska	Omaha (Neb.)--Newspapers.	Omaha [Neb.]
sn90061457	Frank Freytag, Jr.	The St. Joseph observer.	http://dbpedia.org/resource/Saint_Joseph%2C_Missouri	Buchanan County (Mo.)--Newspapers.	St. Joseph, Mo.
sn96061149	D.C. Ireland	The Daily astorian.	http://sws.geonames.org/5711847/	Astoria (Or.)--Newspapers.	Astoria, Or.
